name,url,category,price
Shahnaz Husain Diamond Plus Exfoliating Scrub ? 175g,https://www.sinorbeauty.com/details/Shahnaz-Husain-Diamond-Plus-Exfoliating-Scrub-175g/100713/,SHAHNAZ,Tk.4800
Shahnaz Diamond Plus Exfoliating Scrub ? 40 Gm,https://www.sinorbeauty.com/details/Shahnaz-Diamond-Plus-Exfoliating-Scrub-40-Gm/100712/,SHAHNAZ,Tk.1900
Shahnaz Husain 24 Carat Gold Plus Anti-Age Exfoliating Scrub ? 200g,https://www.sinorbeauty.com/details/Shahnaz-Husain-24-Carat-Gold-Plus-Anti-Age-Exfoliating-Scrub-200g/100711/,SHAHNAZ,Tk.3400
Shaface Plus Herbal Face Treatment,https://www.sinorbeauty.com/details/Shaface-Plus-Herbal-Face-Treatment/100710/,SHAHNAZ,Tk.1350
Shascrub Plus ? Walnut Face & Body Scrub 500g,https://www.sinorbeauty.com/details/Shascrub-Plus-Walnut-Face-Body-Scrub-500g/100709/,SHAHNAZ,Tk.8500
Shahnaz Husain Shascrub Plus ? Walnut Face & Body Scrub 40g,https://www.sinorbeauty.com/details/Shahnaz-Husain-Shascrub-Plus-Walnut-Face-Body-Scrub-40g/100708/,SHAHNAZ,Tk.1270
