name,url,category,price
Loreal Xtenso Hair Straightening Cream Set + Abiao Professional Hair Straightner,https://www.sinorbeauty.com/details/Loreal-Xtenso-Hair-Straightening-Cream-Set-Abiao-Professional-Hair-Straightner/101416/,HAIR,Tk.3950
Lolane Freestyle Extra Hold Hair Gel Spray 215ml,https://www.sinorbeauty.com/details/Lolane-Freestyle-Extra-Hold-Hair-Gel-Spray-215ml/101415/,HAIR,Tk.750
Schwarzkopf got2b Guardian Angel Heat Spray 200ml,https://www.sinorbeauty.com/details/Schwarzkopf-got2b-Guardian-Angel-Heat-Spray-200ml/101414/,HAIR,Tk.1150
Schwarzkopf Pro Styling Heat Protection Spray 250ml,https://www.sinorbeauty.com/details/Schwarzkopf-Pro-Styling-Heat-Protection-Spray-250ml/101413/,HAIR,Tk.950
Loreal Stylista Curl Tonic Styling Spray - 200ml,https://www.sinorbeauty.com/details/Loreal-Stylista-Curl-Tonic-Styling-Spray-200ml/101412/,HAIR,Tk.1320
Streax Heat Protection Spray For Hair -100 Ml,https://www.sinorbeauty.com/details/Streax-Heat-Protection-Spray-For-Hair-100-Ml/101411/,HAIR,Tk.1380
Lisap - Lightening Powder 500g,https://www.sinorbeauty.com/details/Lisap-Lightening-Powder-500g/101410/,HAIR,Tk.4800
Loreal Xtenso Straightening & Loreal Xtenso Hair Care Set,https://www.sinorbeauty.com/details/Loreal-Xtenso-Straightening-Loreal-Xtenso-Hair-Care-Set/101406/,HAIR,Tk.5700
Loreal Professionnel Smartbond Bond Strengthening System Kit 125ml + 250ml,https://www.sinorbeauty.com/details/Loreal-Professionnel-Smartbond-Bond-Strengthening-System-Kit-125ml-250ml/101405/,HAIR,Tk.9500
Sokany 750?F Professional Hair Straightener,https://www.sinorbeauty.com/details/Sokany-750-F-Professional-Hair-Straightener/101404/,HAIR,Tk.1850
V7G Professional V26 Hair Straightener,https://www.sinorbeauty.com/details/V7G-Professional-V26-Hair-Straightener/101402/,HAIR,Tk.1850
Rozia pro HR 826 hair straightener 950 Power,https://www.sinorbeauty.com/details/Rozia-pro-HR-826-hair-straightener-950-Power/101400/,HAIR,Tk.1850
PRO mozer Triple barrel Hair waver,https://www.sinorbeauty.com/details/PRO-mozer-Triple-barrel-Hair-waver/101399/,HAIR,Tk.1950
VGR V-455 Professional Hair Dryer,https://www.sinorbeauty.com/details/VGR-V-455-Professional-Hair-Dryer/101398/,HAIR,Tk.3500
Vgr Hair Dryer V-461,https://www.sinorbeauty.com/details/Vgr-Hair-Dryer-V-461/101397/,HAIR,Tk.1950
Lolane Pixxel Styling Expert Mega Control Hair Spray 300ml,https://www.sinorbeauty.com/details/Lolane-Pixxel-Styling-Expert-Mega-Control-Hair-Spray-300ml/101394/,HAIR,Tk.1850
Lolane Pixxel Anti-Yellow Shampoo 100 ml,https://www.sinorbeauty.com/details/Lolane-Pixxel-Anti-Yellow-Shampoo-100-ml/101393/,HAIR,Tk.1650
Lolane Pixxel Anti-Yellow Shampoo 250 ml,https://www.sinorbeauty.com/details/Lolane-Pixxel-Anti-Yellow-Shampoo-250-ml/101392/,HAIR,Tk.2150
Schwarzkopf Professional OSiS Sparkler Shine Spray 300ml,https://www.sinorbeauty.com/details/Schwarzkopf-Professional-OSiS-Sparkler-Shine-Spray-300ml/101381/,HAIR,Tk.2350
Schwarzkopf Taft Power 5 Hair Lacquered Spray 250ml,https://www.sinorbeauty.com/details/Schwarzkopf-Taft-Power-5-Hair-Lacquered-Spray-250ml/101380/,HAIR,Tk.1450
Kera Straight Professional Pure Brazilian Keratin Smoothing Hair Treatment 400ml + 400ml,https://www.sinorbeauty.com/details/Kera-Straight-Professional-Pure-Brazilian-Keratin-Smoothing-Hair-Treatment-400ml-400ml/101377/,HAIR,Tk.3500
Professional Style Tree Keratin Queen Bleaching Powder 500gm,https://www.sinorbeauty.com/details/Professional-Style-Tree-Keratin-Queen-Bleaching-Powder-500gm/101376/,HAIR,Tk.1350
Streax Professional Canvoline Purifying Shampoo,https://www.sinorbeauty.com/details/Streax-Professional-Canvoline-Purifying-Shampoo/101374/,HAIR,Tk.3000
Streax Professional Canvoline Purifying Shampoo 1500ml,https://www.sinorbeauty.com/details/Streax-Professional-Canvoline-Purifying-Shampoo-1500ml/101373/,HAIR,Tk.3000
Streax Professional Canvo Line Conditioner For Straightened Hair 1500ml,https://www.sinorbeauty.com/details/Streax-Professional-Canvo-Line-Conditioner-For-Straightened-Hair-1500ml/101372/,HAIR,Tk.3000
Streax Professional Canvo Line Shampoo For Straightened Hair 1500ml,https://www.sinorbeauty.com/details/Streax-Professional-Canvo-Line-Shampoo-For-Straightened-Hair-1500ml/101371/,HAIR,Tk.3000
Lightness Hair Keratin Treatment (1000ml),https://www.sinorbeauty.com/details/Lightness-Hair-Keratin-Treatment-1000ml-/101369/,HAIR,Tk.1650
Lightness Hair Keratin Treatment (1000ml),https://www.sinorbeauty.com/details/Lightness-Hair-Keratin-Treatment-1000ml-/101368/,HAIR,Tk.1550
Loreal Majirel Rouge Magenta,https://www.sinorbeauty.com/details/Loreal-Majirel-Rouge-Magenta/101367/,HAIR,Tk.1100
Loreal Professional Majirel Hair Color 50G 8 Light Blonde,https://www.sinorbeauty.com/details/Loreal-Professional-Majirel-Hair-Color-50G-8-Light-Blonde/101366/,HAIR,Tk.1100
Loreal Professionnel Paris Majirel - 4.20 (Intense Iridiscent Brown),https://www.sinorbeauty.com/details/Loreal-Professionnel-Paris-Majirel-4-20-Intense-Iridiscent-Brown-/101365/,HAIR,Tk.1100
Loreal Majirel Hair Color 50G 4.26 Red Iridiscent Brown,https://www.sinorbeauty.com/details/Loreal-Majirel-Hair-Color-50G-4-26-Red-Iridiscent-Brown/101364/,HAIR,Tk.1100
Loreal Majirel 8.3 50ml - Light Golden Blonde,https://www.sinorbeauty.com/details/Loreal-Majirel-8-3-50ml-Light-Golden-Blonde/101363/,HAIR,Tk.1100
