name,url,category
Gillette Simply Venus 2 Disposable 4 Razor For Women,https://www.sinorbeauty.com/details/Gillette-Simply-Venus-2-Disposable-4-Razor-For-Women/101216/,PERSONAL
LAFZ Halal Body Spray Sadakat,https://www.sinorbeauty.com/details/LAFZ-Halal-Body-Spray-Sadakat/100940/,PERSONAL
Blue Lady Deodorant Body Spray For Women,https://www.sinorbeauty.com/details/Blue-Lady-Deodorant-Body-Spray-For-Women/100939/,PERSONAL
LAFZ Halal Body Spray Sanaz,https://www.sinorbeauty.com/details/LAFZ-Halal-Body-Spray-Sanaz/100938/,PERSONAL
Rasasi Secret Deodorant Body Spray For Women,https://www.sinorbeauty.com/details/Rasasi-Secret-Deodorant-Body-Spray-For-Women/100937/,PERSONAL
